country,food_group,food_supply
"China, Taiwan Province of","Roots, tubers, plantains and their products",31.4
"China, Taiwan Province of",Spices and condiments,8.8
"China, Taiwan Province of",Sweets and sugars,306.6
"China, Taiwan Province of",Vegetables and their products,101.4
"China, mainland",Beverages,101.0
"China, mainland",Cereals and their products,1589.6
"China, mainland",Eggs and their products,80.0
"China, mainland",Fats and oils,254.8
"China, mainland","Fish, shellfish and their products",62.8
"China, mainland",Foods for particular nutritional uses,1.4
"China, mainland",Fruits and their products,166.2
"China, mainland",Meat and meat products,389.6
"China, mainland",Milk and milk products,63.4
"China, mainland","Pulses, seeds and nuts and their products",173.6
"China, mainland","Roots, tubers, plantains and their products",141.8
"China, mainland",Spices and condiments,7.2
"China, mainland",Sweets and sugars,87.0
"China, mainland",Vegetables and their products,292.4
Colombia,Beverages,76.4
Colombia,Cereals and their products,911.2
Colombia,Eggs and their products,51.4
Colombia,Fats and oils,451.8
Colombia,"Fish, shellfish and their products",21.2
Colombia,Foods for particular nutritional uses,1.4
Colombia,Fruits and their products,165.0
Colombia,Meat and meat products,293.4
Colombia,Milk and milk products,217.0
Colombia,Miscellaneous,2.6
Colombia,"Pulses, seeds and nuts and their products",80.4
Colombia,"Roots, tubers, plantains and their products",242.8
Colombia,Spices and condiments,4.0
Colombia,Sweets and sugars,552.0
Colombia,Vegetables and their products,36.6
Comoros,Beverages,19.6
Comoros,Cereals and their products,990.0
Comoros,Eggs and their products,5.6
Comoros,Fats and oils,170.8
Comoros,"Fish, shellfish and their products",36.2
Comoros,Foods for particular nutritional uses,0.8
Comoros,Fruits and their products,157.6
Comoros,Meat and meat products,106.6
Comoros,Milk and milk products,40.8
Comoros,Miscellaneous,7.8
Comoros,"Pulses, seeds and nuts and their products",371.8
Comoros,"Roots, tubers, plantains and their products",345.8
Comoros,Spices and condiments,17.2
Comoros,Sweets and sugars,160.2
Comoros,Vegetables and their products,21.4
Congo,Beverages,73.4
Congo,Cereals and their products,453.0
Congo,Eggs and their products,1.0
Congo,Fats and oils,280.2
Congo,"Fish, shellfish and their products",41.2
Congo,Foods for particular nutritional uses,2.4
Congo,Fruits and their products,45.2
Congo,Meat and meat products,201.2
Congo,Milk and milk products,12.0
Congo,Miscellaneous,6.2
Congo,"Pulses, seeds and nuts and their products",57.0
Congo,"Roots, tubers, plantains and their products",822.2
Congo,Spices and condiments,0.0
Congo,Sweets and sugars,145.8
Congo,Vegetables and their products,16.0
Costa Rica,Beverages,118.8
Costa Rica,Cereals and their products,923.6
Costa Rica,Eggs and their products,45.8
Costa Rica,Fats and oils,522.6
Costa Rica,"Fish, shellfish and their products",41.8
Costa Rica,Foods for particular nutritional uses,2.4
Costa Rica,Fruits and their products,76.0
Costa Rica,Meat and meat products,251.8
Costa Rica,Milk and milk products,342.2
